"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevity","v_longevity"
"82","Good","HUM256",2163,42,"25A","Sanchez-Ramos et al. (b)",2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures","10.1007/s10493-007-9118-6","Tyrophagus neiswanderi","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM256A","Female",25,-15,25,10,"Cool",-0.615179686,0.032728305,0.844355287,0.034034906
"83","Good","HUM256",2163,42,"25A","Sanchez-Ramos et al. (b)",2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures","10.1007/s10493-007-9118-6","Tyrophagus neiswanderi","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM256A","Female",25,-10,25,15,"Cool",-0.15595708,0.03134501,0.310249708,0.031625996
"84","Good","HUM256",2163,42,"25A","Sanchez-Ramos et al. (b)",2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures","10.1007/s10493-007-9118-6","Tyrophagus neiswanderi","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM256A","Female",25,-5,25,20,"Cool",-0.076875172,0.029932766,0.249673114,0.030143314
"85","Good","HUM256",2163,42,"25A","Sanchez-Ramos et al. (b)",2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures","10.1007/s10493-007-9118-6","Tyrophagus neiswanderi","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM256A","Female",25,4,25,29,"Warm",-1.048801025,0.036418377,-1.475347416,0.040725043
"86","Good","HUM256",2163,42,"25A","Sanchez-Ramos et al. (b)",2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures","10.1007/s10493-007-9118-6","Tyrophagus neiswanderi","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM256A","Female",25,6,25,31,"Warm",-2.566538073,0.071382471,-2.347594835,0.066259061
"97","Good","HUM264",2167,42,"19B","Sengonca, C. and Liu, B.",1999,"Laboratory studies on the effect of temperature and humidity on the life table of the whitefly, Aleurotuberculatus takahashi David & Subramaniam (Hom., Aleyrodidae) from southeastern China",NA,"Aleurotuberculatus takahashi","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM264A","Parthenogenetic",25,-10,25,15,"Cool",-0.230187719,0.008912679,0.435831288,0.009051586
"98","Good","HUM264",2167,42,"19B","Sengonca, C. and Liu, B.",1999,"Laboratory studies on the effect of temperature and humidity on the life table of the whitefly, Aleurotuberculatus takahashi David & Subramaniam (Hom., Aleyrodidae) from southeastern China",NA,"Aleurotuberculatus takahashi","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM264A","Parthenogenetic",25,-5,25,20,"Cool",-0.155195038,0.008069685,0.233534434,0.008098855
"99","Good","HUM264",2167,42,"19B","Sengonca, C. and Liu, B.",1999,"Laboratory studies on the effect of temperature and humidity on the life table of the whitefly, Aleurotuberculatus takahashi David & Subramaniam (Hom., Aleyrodidae) from southeastern China",NA,"Aleurotuberculatus takahashi","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM264A","Parthenogenetic",25,5,25,30,"Warm",-0.082205155,0.005919713,-0.787773195,0.006371723
"100","Good","HUM264",2167,42,"19B","Sengonca, C. and Liu, B.",1999,"Laboratory studies on the effect of temperature and humidity on the life table of the whitefly, Aleurotuberculatus takahashi David & Subramaniam (Hom., Aleyrodidae) from southeastern China",NA,"Aleurotuberculatus takahashi","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM264A","Parthenogenetic",25,10,25,35,"Warm",-0.556117925,0.005913468,-1.376314419,0.007029647
"101","Good","HUM29",2024,39,"24A","Bahirai et al., 2019",2019,"Effect of temperature on life table parameters of Rhyncaphytoptus ficifoliae Keifer (Trombidiformes; Diptilomiopidae)","10.11158/saa.24.8.5","Rhyncaphytoptus ficifoliae","Diptilomiopidae","Arachnida","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","HUM29A","Female",NA,-8,25,17,"Cool",-2.061416431,0.051039324,2.262345006,0.054659187
"102","Good","HUM29",2024,39,"24A","Bahirai et al., 2019",2019,"Effect of temperature on life table parameters of Rhyncaphytoptus ficifoliae Keifer (Trombidiformes; Diptilomiopidae)","10.11158/saa.24.8.5","Rhyncaphytoptus ficifoliae","Diptilomiopidae","Arachnida","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","HUM29A","Female",NA,-5,25,20,"Cool",-1.173738454,0.039073591,1.758405292,0.046216622
"103","Good","HUM29",2024,39,"24A","Bahirai et al., 2019",2019,"Effect of temperature on life table parameters of Rhyncaphytoptus ficifoliae Keifer (Trombidiformes; Diptilomiopidae)","10.11158/saa.24.8.5","Rhyncaphytoptus ficifoliae","Diptilomiopidae","Arachnida","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","HUM29A","Female",NA,5,25,30,"Warm",-0.046259597,0.03334225,-1.459209923,0.04220539
"104","Good","HUM29",2024,39,"24A","Bahirai et al., 2019",2019,"Effect of temperature on life table parameters of Rhyncaphytoptus ficifoliae Keifer (Trombidiformes; Diptilomiopidae)","10.11158/saa.24.8.5","Rhyncaphytoptus ficifoliae","Diptilomiopidae","Arachnida","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","HUM29A","Female",NA,8,25,33,"Warm",-2.00943781,0.050157668,-2.616331272,0.061854956
"119","Good","HUM302",2186,42,"19B","Uygun et al.",1993,"LABORATORY STUDIES OF THE EFFECT OF TEMPERATURE AND HUMIDITY ON DEVELOPMENT AND FECUNDITY OF PARABEMISIA-MYRICAE (KUWANA) (HOMOPTERA, ALEYRODIDAE)",NA,"Parabemisia myrica","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM302A","Parthenogenetic",25,-10,25,15,"Cool",-1.717494926,0.035734106,2.241498564,0.042299065
"120","Good","HUM302",2186,42,"19B","Uygun et al.",1993,"LABORATORY STUDIES OF THE EFFECT OF TEMPERATURE AND HUMIDITY ON DEVELOPMENT AND FECUNDITY OF PARABEMISIA-MYRICAE (KUWANA) (HOMOPTERA, ALEYRODIDAE)",NA,"Parabemisia myrica","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM302A","Parthenogenetic",25,-5,25,20,"Cool",-1.341468365,0.03587796,2.057444791,0.044155313
"121","Good","HUM302",2186,42,"19B","Uygun et al.",1993,"LABORATORY STUDIES OF THE EFFECT OF TEMPERATURE AND HUMIDITY ON DEVELOPMENT AND FECUNDITY OF PARABEMISIA-MYRICAE (KUWANA) (HOMOPTERA, ALEYRODIDAE)",NA,"Parabemisia myrica","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM302A","Parthenogenetic",25,5,25,30,"Warm",-0.156987796,0.046340785,-0.940922636,0.049839526
"122","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_A","Female",24,-4,24,20,"Cool",-2.804152764,0.159148025,1.168578881,0.094171064
"123","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_A","Female",24,-4,24,20,"Cool",-1.053412886,0.091612085,1.168578881,0.094171064
"124","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_A","Female",24,4,24,28,"Warm",0.490528803,0.073668175,-0.446070241,0.073296391
"125","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_A","Female",24,4,24,28,"Warm",0.082629068,0.071580756,-0.446070241,0.073296391
"126","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_A","Female",24,8,24,32,"Warm",-1.699065116,0.10080391,-1.021403072,0.083733928
"127","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_A","Female",24,8,24,32,"Warm",-1.621027854,0.098404919,-1.021403072,0.083733928
"128","Good","HUM317",2194,42,"25B","Xia et al.",2012,"Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus","10.1007/s10493-011-9481-1","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM317A","Female",24,-8,24,16,"Cool",-4.930075418,0.27857903,0.772698998,0.07419472
"129","Good","HUM317",2194,42,"25B","Xia et al.",2012,"Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus","10.1007/s10493-011-9481-1","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM317A","Female",24,-4,24,20,"Cool",-2.964832779,0.144825493,1.304776441,0.083723839
"130","Good","HUM317",2194,42,"25B","Xia et al.",2012,"Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus","10.1007/s10493-011-9481-1","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM317A","Female",24,4,24,28,"Warm",0.024583502,0.07418142,-0.561083089,0.077090771
"131","Good","HUM317",2194,42,"25B","Xia et al.",2012,"Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus","10.1007/s10493-011-9481-1","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM317A","Female",24,8,24,32,"Warm",-0.998118754,0.085112786,-1.532925993,0.097882796
"132","Good","HUM319",2196,42,"25B","Yali et al.",2012,"Life history traits of Tetranycopsis horridus (Canestrini and Fanzago) (Acari: Tetranychidae) at three constant temperatures","10.1080/01647954.2011.633560","Tetranycopsis horridus","Tetranychidae","Arachnida","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM319A","Parthenogenetic",NA,-10,25,15,"Cool",-0.391696237,0.101917824,0.97127442,0.111792175
"133","Good","HUM319",2196,42,"25B","Yali et al.",2012,"Life history traits of Tetranycopsis horridus (Canestrini and Fanzago) (Acari: Tetranychidae) at three constant temperatures","10.1080/01647954.2011.633560","Tetranycopsis horridus","Tetranychidae","Arachnida","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM319A","Parthenogenetic",NA,-5,25,20,"Cool",-0.167720494,0.100351627,0.677486478,0.105737349
"138","Good","HUM329",2203,42,"25B","Zou et al.",2018,"Effect of temperature on development and reproduction of the carmine spider mite, Tetranychus cinnabarinus (Acari: Tetranychiae), fed on cassava leaves","10.1007/s10493-018-0241-3","Tetranychus cinnabarinus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM329A","Female",25,-8,24,16,"Cool",-2.535364715,0.160708761,2.219983765,0.144044913
"139","Good","HUM329",2203,42,"25B","Zou et al.",2018,"Effect of temperature on development and reproduction of the carmine spider mite, Tetranychus cinnabarinus (Acari: Tetranychiae), fed on cassava leaves","10.1007/s10493-018-0241-3","Tetranychus cinnabarinus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM329A","Female",25,-4,24,20,"Cool",-0.727272373,0.082819533,0.735792588,0.082934955
"140","Good","HUM329",2203,42,"25B","Zou et al.",2018,"Effect of temperature on development and reproduction of the carmine spider mite, Tetranychus cinnabarinus (Acari: Tetranychiae), fed on cassava leaves","10.1007/s10493-018-0241-3","Tetranychus cinnabarinus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM329A","Female",25,4,24,28,"Warm",0.174697512,0.086405259,-0.505295434,0.088796793
"141","Good","HUM329",2203,42,"25B","Zou et al.",2018,"Effect of temperature on development and reproduction of the carmine spider mite, Tetranychus cinnabarinus (Acari: Tetranychiae), fed on cassava leaves","10.1007/s10493-018-0241-3","Tetranychus cinnabarinus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM329A","Female",25,8,24,32,"Warm",-1.453264647,0.104884131,-1.763463015,0.115066005
"142","Good","HUM33",2027,39,"24A","Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT","10.1016/0022-474X(94)90190-2","Oryzaephilus surinamensis","Silvanidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (>4 days)","HUM33B","Female",NA,-5,25,20,"Cool",0.43281185,0.053445305,0.410278036,0.053337362
"143","Good","HUM33",2027,39,"24A","Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT","10.1016/0022-474X(94)90190-2","Oryzaephilus surinamensis","Silvanidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (>4 days)","HUM33B","Female",NA,-2.5,25,22.5,"Cool",0.516329332,0.053895702,0.424452146,0.053404587
"144","Good","HUM33",2027,39,"24A","Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT","10.1016/0022-474X(94)90190-2","Oryzaephilus surinamensis","Silvanidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (>4 days)","HUM33B","Female",NA,5,25,30,"Warm",0.26055262,0.086421449,-0.154752643,0.085963748
"145","Good","HUM33",2027,39,"24A","Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT","10.1016/0022-474X(94)90190-2","Oryzaephilus surinamensis","Silvanidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (>4 days)","HUM33B","Female",NA,7.5,25,32.5,"Warm",0.700036902,0.090818991,0.4829351,0.088143726
"146","Good","HUM33",2027,39,"24A","Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT","10.1016/0022-474X(94)90190-2","Oryzaephilus surinamensis","Silvanidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (>4 days)","HUM33B","Female",NA,10,25,35,"Warm",-0.134433965,0.085902541,-0.140909533,0.085921114
"156","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female",NA,-5,25,20,"Cool",-7.582780037,0.387411264,7.720994471,0.400191501
"157","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female",NA,2.5,25,27.5,"Warm",0,0.04,0.43920141,0.041165506
"158","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female",NA,5,25,30,"Warm",-10.73580075,0.736395352,-4.515342526,0.163187993
"159","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female",NA,7.5,25,32.5,"Warm",-9.247200131,0.556663156,-3.752856707,0.125096352
